id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
117649,F43 - your base for Berlin,594164,Ralph&Maria,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.50004366,13.44264896,Entire home/apt,68,60,84,0.93,1,266
121888,"private, calm but very central",611847,Michel,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.5181772,13.4639958,Entire home/apt,125,7,5,0.06,1,0
125349,Cottage Berlin-Friedrichshagen,623521,Andre,Treptow - Köpenick,Friedrichshagen,52.4510523,13.63528316,Entire home/apt,70,2,26,0.49,1,340
127708,Design Jewel in the midst of MITTE!,632174,Stéphanie,Mitte,Alexanderplatz,52.5196488,13.41098973,Entire home/apt,89,2,443,5.2,5,295
128827,Gorgeous Home in the City's Heart,632971,Kai,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50948322,13.46119273,Entire home/apt,59,2,16,0.37,1,302
135097,Nähe KaDeWe & Kurfürstendamm,662534,Bernd,Tempelhof - Schöneberg,Schöneberg-Nord,52.50089197,13.34691848,Entire home/apt,96,1,148,1.67,1,202
138955,Guest Apartment near Viktoriapark,677988,Pigi,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49097476,13.37691015,Entire home/apt,75,2,191,2.13,1,0
139769,Mitte Auguststrasse Room Central&Charming,681637,Stefano,Mitte,Alexanderplatz,52.52810573,13.39194616,Private room,55,2,226,2.54,1,322
143605,""" Berlin Fuffa's 40m2  apartment """,696492,Gaston & Elena,Neukölln,Schillerpromenade,52.47677777,13.42437149,Entire home/apt,55,30,55,0.63,1,312
145249,Private Wing of Penthouse - Terrace,703493,Evelyna,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51819219,13.46122088,Private room,70,3,107,1.41,1,50
147946,1-room-flat in Prenzlauer Berg/WIFI,712973,Jan,Pankow,Prenzlauer Berg Nordwest,52.54854936,13.40851675,Entire home/apt,31,183,39,0.45,1,324
149849,Cosy room in Mitte/Rosenthaler pl.,722460,George,Mitte,Alexanderplatz,52.52981719,13.40259804,Private room,40,2,47,0.54,1,84
